Romanian,Rromani_Reference,Baseline_Prediction
Pavel a stat în picioare în mijlocul Areopagului şi a zis: „Bărbaţi atenieni! În toate privinţele vă găsesc foarte religioşi.,Atunći o Pavel uśtilo ande punrenθe maśkar ol manuśa d‑and‑o Areopago haj phendǎs: — Manuśalen atenienǎ! Me dikhav ke tume den but pakǐv tumare develen.,
"După ce a sfîrşit Isus cuvîntările acestea, a plecat din Galilea, şi a venit în ţinutul Iudeii, dincolo de Iordan.","Kana O Jesus getosardias so phenelas, gelotar andai Galilee karing e Judea inchal e Jordan.",
"Tot aşa, vă spun că este bucurie înaintea îngerilor lui Dumnezeu pentru un singur păcătos care se pocăieşte.``","Sakadia, phenav tumenge, ""Si raduimos anglal angeluria le Devleske anda iek bezexalo kai keilpe.""",
"De aceea, prea iubiţii şi mult doriţii mei fraţi, bucuria şi cununa mea, rămîneţi astfel tari în Domnul, prea iubiţilor!","No murhe kuchi phral, tume kai sa murhe ilesa mangav te dikhav tume, tume kai raduin ma, ai kai luvudiv tume! Beshen phangle ka Del, murhe phral,",amaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamai
Isus le-a poruncit cu tărie să nu ştie nimeni lucrul acesta şi a zis să dea de mâncare fetiţei.,O Isus porunćisardǎs lenqe zorales te na phenen khanikasqe kadala bukǎ haj phendǎs lenqe te den la ćhejaqe te xal.,ziozioziozioziozioziozioziozioziozioziozioziozioziozioziozioziozioziozioziozioziozioziozioziozioziozioziozioziozioziozioziozioziozioziozioziozioziozioziozioziozioziozioziozioziozioziozioziozioziozioziozioziozioziozioziozioziozioziozioziozioziozioziozioziozioziozioziozioziozioziozioziozioziozioziozioziozioziozioziozioziozioziozioziozioziozioziozioziozioziozioziozioziozioziozioziozioziozioziozioziozioziozioziozioziozioziozioziozioziozioziozioziozioziozioziozioziozioziozioziozioziozioziozioziozioziozioziozioziozioziozioziozioziozioziozioziozioziozioziozioziozioziozioziozioziozioziozioziozio
Apoi le-a zis: „Este îngăduit în ziua Sabatului să faci bine sau să faci rău? Să scapi viaţa cuiva sau s-o pierzi?” Dar ei tăceau.,Pala kadaja phendǎs lenqe: — So si voja le manuśes te kerel and‑o ges le Sabatosqo: te kerel laćhipen vaj te kerel nasulipen? Te xastravel jekhe manuśes katar o meripen vaj te mudarel varekas? Ama von aćhenas andar o muj.,amaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamaiamai
"Căci Împărăţia lui Dumnezeu nu este mîncare şi băutură, ci neprihănire, pace şi bucurie în Duhul Sfînt.","Ke o rhaio le Devlesko nai o xaben ai o pimos; numa so si vorta, ai e pacha, ai o raduimos kai del o Swunto Duxo.",
Am făcut cunoscut Numele Tău oamenilor pe care Mi i-ai dat din lume. Ai Tăi erau şi Tu Mi i-ai dat; şi ei au păzit Cuvântul Tău.,Kerdem prinʒardo Kiro Anav le manuśenqe saven Tu dinǎn len Manqe andar e lumǎ. Sas Kire manuśa thaj dinǎn len Manqe thaj von kerde pala Kire dume.,
"După opt zile, ucenicii lui Isus erau iarăş în casă; şi era şi Toma împreună cu ei. Pe cînd erau uşile încuiate, a venit Isus, a stătut în mijloc, şi le -a zis: ,,Pace vouă!``","Oxto dies pala kodia le disipluria le Jesusoske sas pale ando kher ai o Thomas sas lensa: O Jesus avisailo, le wudara phandadesas zurales, numa O Jesus avilo mashkar lende, ai phendia, ""E pacha te avel tumensa."" Porme phendia le Thomasoske, ""Tho cho nai kata, ai dikh murhe vas; an vi cho vas ai tho les ande murho prashav: ai na kerdiol manush kai chi pachalpe, numa pachas tu.""",
"Şi El le -a zis: ,,Tot nu înţelegeţi?``","Ai O Jesus phendia lenge, ""Sostar sa chi haliaren?""",
