akana,acum
akhor,nucă
ambrol,pară
an!,adu!
gad,cămașă
gav,sat
gono,sac
gonorro,ghiozdan
grast,cal
kak,unchi
kalo,negru
kan,ureche
kana?,când?
kòkalo,os
kon,cine
lolo,roșu
lolo gad,cămaşă roşie
lon,sare
na!,nu!
naj,deget
nakh,nas
nango,gol
o kak,unchiul
o kan,urechea
o lon,sarea
raklo,copil nerrom
śośoj,iepure
Kako,an o gono!,Unchiule adu sacul!
Kako,na an o gono!,Unchiule nu adu sacul!
An! – Na an!,Adu! – Nu adu!
Àna,an o gono!,Ana adu sacul!
Àna,na an o gono!,Ana nu adu sacul!
Àna,an o lon!,Ana adu sarea!
Te siklǒvas anθ-i sàla!,Să învățăm în clasă!
anel,aduce
bibi,mătușă
šare,farfuriile
šaro,farfurie
šhuri,cuțit
kiral,brânză
loli skafedi,față de masă roșie
marro,pâine
mas,carne
mol,vin
pani,apă
phral,frate
rikono,cățel
rroj,lingură
rroja,lingurile
śax,varză
sinìa,masă
skafedi,față de masă
tha‘,dar
thaj,și
thud,lapte
Ina,an i loli skafedi,na i kali skafedi!,Ina adu fața de masă roşie nu fața de masă neagră!
Kon anel e rroja?,Cine aduce lingurile?
O phral anel o lon?,Fratele aduce sarea?
Va,vov anel o lon.,Da el aduce sarea.
I phen so anel?,Sora ce aduce?
Voj anel o pani.,Ea aduce apa.
So anel o kak?,Ce aduce unchiul?
Vov anel i loli mol.,El aduce vinul roșu.
Tu so anes?,Tu ce aduci?
Me anav o marro.,Eu aduc pâinea.
Thaj von so anen?,Și ei ce aduc?
Von anen e šare.,Ei aduc farfuriile.
Ame so anas?,Noi ce aducem?
Ame anas o thud thaj o kiral.,Noi aducem laptele și brânza.
I bibi anel o kòkalo?,Mătușa aduce osul?
Na,i bibi anel i šhuri.,Nu mătușa aduce cuțitul.
O dad thaj i daj anen o śax thaj o mas.,Tatăl și mama aduc varza și carnea.
Tha‘ o rikono so anel vi vov?,Dar cățelul ce aduce și el?
Vov anel o kòkalo.,El aduce osul.
me anav,eu aduc
ame anas,noi aducem
tu anes,tu aduci
tume anen,voi aduceți
vov anel,el aduce
von anen,ei aduc
anθar,din
anθ-o kher,în casă
balo,porc
barorro,măricel
baśno,cocoş
baxtalo,norocos
bokhalo,flămând
but,mult
šhavo,băiat
šušo,gol
dikhlo,batic
duj,doi
fèri,numai
gàlbeno,galben
gaʒo,gajeu
kadaja,aceasta
kadala,aceştia
kadava,acesta
kaj,unde
kakaràśka,coŝofană
kathe,aici
kazom,cât
kodola,aceia
kothe,acolo
nevo,nou
nìśte,nişte
parno,alb
pherdo,plin
phurt,pod
purano,vechi
rukh,copac
si,este
śaxorro,verzişoară
śtar,patru
śukar,frumos
telal,sub
terno,tânăr
ušo,înalt
vaj,sau
veśno,pădurar
vi,și de asemenea
xuxurr,ciupercă
zèleno,verde
źïlto,galben
zoralo,puternic
ʒeno,persoană
ʒukel,câine
o rrom,omul
Kon si kadava?,Cine este acesta?
Kadava si jekh rrom.,Acesta este un rrom.
o ʒeno,persoana
Kazom ʒene si kathe?,Câți inși sunt aici?
Kathe si jekh ʒeno.,Aici este un ins.
Kon si o ʒeno?,Cine este persoana?
O ʒeno si jekh rrom.,Persoana este un rrom.
Sar si o rrom?,Cum este persoana rromă?
O rrom si zoralo.,Omul rrom este puternic.
Kathe si jekh manuś.,Aici este un om.
So si kadava?,Ce este acesta?
Kadava si jekh sap.,Acesta este un șarpe.
Sar si o sap?,Cum este șarpele?
O sap si zoralo.,Șarpele este puternic.
Kadava si o lil.,Aceasta este cartea.
Sar si o lil?,Cum este cartea?
O lil si tikno.,Cartea este mică.
Kaj si kadava lil?,Unde este această carte?
Kadava lil si kathe.,Această carte este aici.
Kadava si jekh kher.,Acesta este o casă.
Kadava si o xuxurr.,Aceasta este o ciupercă.
Sar si o xuxurr?,Cum este ciuperca?
O xuxurr si lolo.,Ciuperca este roșie.
e rroma,romii
Kon si kadala?,Cine sunt aceștia?
Kadala si nìśte rroma.,Aceștia sunt niște rromi.
e ʒene,persoanele
Kathe si duj ʒene.,Aici sunt doi inși.
Kon si e ʒene?,Cine sunt persoanele?
E ʒene si nìśte rroma.,Persoanele sunt niște rromi.
Sar si e rroma?,Cum sunt persoanele rrome?
E rroma si zorale.,Rromii sunt puternici.
Kothe si nìśte manuśa.,Aici sunt niște oameni.
So si kodola?,Ce sunt aceștia?
Kodola si nìśte sapa.,Aceia sunt niște șerpi.
Sar si e sapa?,Cum sunt șerpii?
Kadala sapa si zorale.,Acești șerpi sunt puternici.
Kadala si lila.,Acestea sunt cărți.
Sar si e lila?,Cum sunt cărțile?
E lila si tikne.,Cărțile sunt mici.
Kaj si kadala lila?,Unde sunt aceste cărți?
Kadala lila si kathe.,Aceste cărți sunt aici.
Kadala si nìśte khera.,Acestea sunt niște case.
So si kodola?,Ce sunt acelea?
Kodola si e xuxurra.,Acelea sunt niște ciuperci.
Sar si e xuxurra?,Cum sunt ciupercile?
E xuxurra si lole.,Ciupercile sunt roșii.
Kadava si jekh ruv.,Acesta este un lup.
Kajθar avel o ruv?,De unde vine lupul?
O ruv avel anθar veś.,Lupul vine din pădure.
Kaj avel o ruv kana si bokhalo?,Unde vine lupul când este flămând?
Vov avel anθ-o gav!,El vine în sat.
Kadava si jekh moxton.,Acesta este un cufăr.
Sar si o moxton?,Cum este cufărul?
O moxton si tikno.,Cufărul este mic.
O moxton si nevo?,Cufărul este nou?
Na. Kadava si purano.,Nu. Acest cufăr este vechi.
Kadava si o ʒukel.,Acesta este câinele.
Vov si lašho vi tiknorro.,El este bun și micuț.
Kadava si jekh grast.,Acesta este un cal.
Sar si o grast?,Cum este calul?
O grast si ušo vi śukar.,Calul este înalt și frumos.
O grast si parno?,Calul este alb?
Na. Kadava grast si kalo.,Nu. Acest cal este negru.
Lolo? Na! Kadava grast si kalo.,Roșu? Nu! Acest cal este negru.
So si kathe?,Ce este aici?
Kathe si jekh ušo xer.,Aici este un măgar înalt.
Sar si o xer?,Cum este măgarul?
O xer si terno.,Măgarul este tânăr.
Va, kathe si nùmaj jekh xer.,Da, aici este numai un măgar.
Vov si but śukar vi tikno.,El este foarte frumos și mic.
rmy,ro
Kadala si nìśte ruva.,Aceștia sunt niște lupi.
Kajθar aven e ruva?,De unde vin lupii?
E ruva aven anθar veś.,Lupii vin din pădure.
Kaj aven e ruva kana si bokhale?,Unde vin lupii când sunt flămânzi?
Von aven anθ-e gava.,Ei vin în sate.
Kadala si duj moxtona.,Acestea sunt două cufere.
Sar si e moxtona?,Cum sunt cuferele?
E moxtona si tikne.,Cuferele sunt mici.
E moxtona si neve?,Cuferele sunt noi?
Na. Kadala moxtona si purane.,Nu. Aceste cufere sunt vechi.
Kadala si ʒukela.,Aceștia sunt câini.
Sar si von?,Cum sunt ei?
Von si lašhe vi tiknorre.,Ei sunt buni și micuți.
Kadala si nìśte grasta.,Aceștia sunt niște cai.
Sar si e grasta?,Cum sunt caii?
E grasta si uše vi śukar.,Caii sunt înalți și frumoși.
E grasta si kale?,Caii sunt negri?
Jekh grast si parno thaj jekh si kalo.,Un cal este alb iar unul este negru.
Kodola grasta si lole?,Acești cai sunt roșii?
Kothe si duj xera.,Acolo sunt doi măgari.
